id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,average_nearest_price,within_radius
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,Downtown peninsula,West End,49.28201,-123.12669,Entire home/apt,150,3,438,2022-10-30,2.88,1,82,7,18-611603,594340.0,True
13490,Vancouver's best kept secret,52467,Iris,East Side,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,96,2022-11-06,0.68,1,165,5,,1478380.0,True
14267,EcoLoft Vancouver,56030,Peter & Alison,East Side,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.23,1,0,0,21-156500,1799900.0,False
14424,Spacious one-bedroom in sought-after Strathcona,56709,Samantha Jo,Downtown peninsula,Downtown Eastside,49.27921,-123.08835,Entire home/apt,108,30,263,2022-10-20,1.68,3,81,5,19-162091,1135180.0,True
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,East Side,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,7,2022-07-30,0.13,1,101,2,19-162421,1246180.0,False
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,East Side,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,365,3,2018-02-16,0.05,5,90,0,,789000.0,True
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,East Side,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,5,7,2021-09-29,0.05,1,10,0,18-573474,1340240.0,False
17765,"Central location, nice little apartment",68672,James,East Side,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.64,1,0,0,21-156705,2365600.0,False
18270,private rm in clean central 2BR apt,70437,Ran,East Side,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.83,1,225,0,,1342400.0,True
18589,Commercial Drive B&B,71508,Sylvain & Alexis,East Side,Grandview-Woodland,49.27569,-123.07057,Private room,110,1,454,2022-12-01,3.24,1,174,57,22-156002,1963620.0,True
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,Downtown peninsula,West End,49.28299,-123.13008,Private room,75,30,128,2022-11-23,0.9,4,247,6,18-573700,1558340.0,False
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,East Side,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,30,76,2022-08-28,0.49,1,192,1,Exempt,1662400.0,False
21912,PRIVATE ROOM + BATH + KING BED + dedicated entry,83871,Adam,East Side,Renfrew-Collingwood,49.23361,-123.05283,Private room,66,30,374,2022-12-04,2.69,3,313,31,22-156397,2048400.0,False
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,East Side,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,76,30,223,2022-10-30,1.65,3,225,4,22-156397,1925780.0,False
24273,Walker's paradise in Kitsilano,1267409,Julia,West Side,Kitsilano,49.26216,-123.1715,Entire home/apt,140,30,16,2021-03-01,0.14,2,141,0,20-175617,2601500.0,False
26047,The Alpha Downtown by COMFYSUITES,109845,Alicia,Downtown peninsula,Downtown,49.28086,-123.12375,Entire home/apt,169,30,40,2022-10-31,0.29,4,326,4,,842360.0,True
32746,Designer Urban Park View Townhouse,52118,Liliana,Downtown peninsula,Downtown,49.2792,-123.105,Entire home/apt,127,30,87,2022-10-03,0.58,2,364,4,,751000.0,True
33150,“Suite on Main”  near  Q.E Park,143724,Ili,East Side,Riley Park,49.24677,-123.1048,Entire home/apt,125,4,99,2022-12-05,0.7,1,239,26,22-156658,2015000.0,False
35102,FURNISHED 2Br + 2Br Yaletown PRIME location!,2283739,Karina,Downtown peninsula,Downtown,49.27743,-123.11869,Entire home/apt,140,30,77,2022-11-15,0.51,1,309,1,#20-198999,659800.0,True
35304,"🌟Private Studio in the ❤ of ""The Drive""🚶‍♂️➡️ 94",151996,Howie And Lisa,East Side,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,89,2,524,2022-12-08,3.49,1,215,74,22-155951,2454920.0,True
42645,The Charlie Downtown by COMFYSUITES,109845,Alicia,Downtown peninsula,Downtown,49.28036,-123.1234,Entire home/apt,179,30,34,2022-08-21,0.23,4,138,3,,669200.0,True
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,East Side,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,110,50,1,2022-10-18,0.55,2,365,1,,1306780.0,False
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,Downtown peninsula,Downtown Eastside,49.27836,-123.08716,Entire home/apt,402,3,31,2022-09-05,0.34,3,0,7,19-162091,1087220.0,True
