id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7438069,Modern house off trendy Main Street. - NOW WITH AC,21458071,Ali,,Riley Park,49.2524,-123.10314,Entire home/apt,386,3,135,2022-12-04,2.95,3,221,46,LICENCE NUMBER -22-156651
7478857,Adorable 1 bedroom guesthouse with patio,19844007,Stephanie,,Grandview-Woodland,49.272483825683594,-123.06219482421875,Entire home/apt,91,30,224,2022-10-01,2.49,1,227,2,00-00000
7494656,Private Ensuite in Scenic Kits - 5 min to UBC!,39181323,Isabel,,West Point Grey,49.26258,-123.18716,Private room,138,3,88,2022-10-24,0.99,2,233,22,18-591290
7518690,Room Close to Downtown/VGH/BCCH II,573014,Nuha,,South Cambie,49.25031,-123.1205,Private room,120,3,62,2020-01-05,0.79,2,365,0,18-611304
7548858,Tree Tops loft in Mount Pleasant,1339708,Ryan,,Mount Pleasant,49.26595,-123.09794,Entire home/apt,204,5,148,2022-10-20,1.65,2,61,19,22-155907
7574951,Sunny Kits loft in character home,32169044,Jacqueline,,Kitsilano,49.2661,-123.1833,Entire home/apt,79,60,104,2022-08-31,1.16,1,1,1,
7579741,Lovely 1-bedroom condo with patio/gym,7672195,Tony,,Mount Pleasant,49.267,-123.0996,Entire home/apt,100,30,0,,,1,132,0,
7635114,Luxurious Master Bedroom in Kits,39181323,Isabel,,West Point Grey,49.26108,-123.18723,Private room,138,1,88,2022-10-22,0.99,2,365,26,18-591290
7639521,Vintage Loft in Converted Warehouse,6723104,Tanya,,Downtown Eastside,49.28185,-123.10456,Entire home/apt,143,2,693,2022-11-28,7.80,1,317,101,23-157064
7674840,"3Bd house, great location, big comfy beds",3844155,Amy,,Grandview-Woodland,49.27576,-123.06508,Entire home/apt,225,3,16,2019-08-30,0.18,1,0,0,19-188148
7679929,Spacious Garden Suite in Character Home,22825384,Darren,,Mount Pleasant,49.26023,-123.08671,Entire home/apt,179,2,111,2022-09-07,1.24,1,27,8,18-550645
7696149,Japanese Style One Bedroom Suite,40246737,Grace,,Killarney,49.22239,-123.03277,Entire home/apt,198,15,16,2020-03-24,0.24,1,50,0,20-161516
7701543,Luxury Downtown+Free Parking+Gym+Pool+Sauna+HotTub,40454619,Alex,,Downtown,49.28043,-123.10787,Private room,104,1,195,2020-02-18,2.19,1,0,0,20-160985
7716459,Townhouse w/ private ROOFTOP PATIO (and parking),40539892,Darelle,,Downtown Eastside,49.28062,-123.10494,Entire home/apt,200,2,7,2018-10-07,0.13,1,0,0,18-549547
7741348,"Bella's Heritage House, City Hall",40689478,Carol-Anne,,Mount Pleasant,49.25979,-123.11194,Private room,70,1,403,2022-10-30,4.52,1,36,64,22-156346
7747325,"Bright, Playful and Eclectic Mt Pleasant Loft",39373845,Jenn,,Mount Pleasant,49.26634,-123.09807,Entire home/apt,89,2,0,,,1,0,0,19-163065
7749728,Spacious 1 bed/2 bath apt downtown,40739636,Jordan,,Downtown,49.27667,-123.12752,Entire home/apt,150,30,2,2016-02-14,0.02,1,0,0,
7787115,View Penthouse by the beach in Kits,17937686,Oliver,,Kitsilano,49.26984,-123.17918,Entire home/apt,722,14,7,2019-08-31,0.08,1,358,0,19-162272
7788230,New Private Room Near Skytrain (1),40984901,Holly,,Marpole,49.21311,-123.11348,Private room,39,31,53,2022-11-30,0.61,6,233,3,18-499207
