stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.259833,53493,-122.81614,3531,,,,Northbound Mariner Way @ Mara Dr,0,BUS ZN
49.275145,53495,-122.79893,3533,,,,Coquitlam Central Station @ Bay 8,0,BUS ZN
49.26262,53494,-122.817572,3532,,,,Northbound Mariner Way @ Spuraway Ave,0,BUS ZN
49.177234,55006,-122.885246,5058,,,,Westbound 96 Ave @ 122 St,0,BUS ZN
49.176738,55007,-122.879336,5059,,,,Southbound 124 St @ 96 Ave,0,BUS ZN
49.209744,53499,-122.926494,3537,,,,Eastbound 6th Ave @ 10 St,0,BUS ZN
49.207766,53498,-122.930156,3536,,,,Eastbound 6th Ave @ 12 St,0,BUS ZN
49.177237,55002,-122.864648,5054,,,,Westbound 96 Ave @ Prince Charles Blvd,0,BUS ZN
49.177263,55003,-122.868763,5055,,,,Westbound 96 Ave @ 128 St,0,BUS ZN
49.177262,55004,-122.874198,5056,,,,Westbound 96 Ave @ 126 St,0,BUS ZN
49.32689,54609,-123.14362,4661,,,,Westbound Marine Dr @ Main St,0,BUS ZN
49.177135,54998,-122.847002,5050,,,,Westbound 96 Ave @ King George Blvd,0,BUS ZN
49.177159,54999,-122.851794,5051,,,,Westbound 96 Ave @ 134 St,0,BUS ZN
49.177197,55000,-122.857325,5052,,,,Westbound 96 Ave @ 132 St,0,BUS ZN
49.177222,55001,-122.861965,5053,,,,Westbound 96 Ave @ 130 St,0,BUS ZN
49.338072,60969,-123.146219,10761,,,,Eastbound Mathers Ave @ 11 St,0,BUS ZN
49.334493,60966,-123.153657,10763,,,,Eastbound Inglewood Ave @ 13 St,0,BUS ZN
49.331576,60965,-123.154757,10762,,,,Westbound Fulton Ave @ 14 St,0,BUS ZN
49.351835,60968,-123.13938,10765,,,,Northbound Eyremount Dr @ Groveland Rd,0,BUS ZN
49.338154,60967,-123.167739,10764,,,,Eastbound Mathers Ave @ 2000 Block,0,BUS ZN
49.200053,59300,-123.009524,10769,,,,Eastbound North Fraser Way @ Glenlyon Parkway West,0,BUS ZN
49.211303,58762,-123.091221,10439,,,,Southbound Fraser St @ SE Marine Dr,0,BUS ZN
49.253498,52863,-122.8967,10184,,,,Westbound Cameron St @ Morrey Court,0,BUS ZN
49.090072,58257,-123.085518,10181,,,,Eastbound 48 Ave @ Laidlaw St,0,BUS ZN
49.287718,59576,-123.023214,10180,,,,Northbound N Boundary Rd @ Eton St,0,BUS ZN
49.107856,59795,-122.733279,10189,,,,Westbound 58 Ave @ 176A St,0,BUS ZN
49.107725,59590,-122.734514,10188,,,,Eastbound 58 Ave @ 176 St,0,BUS ZN
49.234792,51150,-123.037515,1159,,,,Eastbound Kingsway @ McKinnon St,0,BUS ZN
49.235786,51149,-123.041963,1158,,,,Eastbound Kingsway @ Rupert St,0,BUS ZN
49.246687,51145,-123.06866,1154,,,,Eastbound Kingsway @ Miller St,0,BUS ZN
49.236159,51148,-123.045333,1157,,,,Eastbound Kingsway @ Killarney St,0,BUS ZN
49.23728,51147,-123.048397,1156,,,,Eastbound Kingsway @ Earles St,0,BUS ZN
49.249736,51142,-123.075484,1151,,,,Eastbound Kingsway @ Knight St,0,BUS ZN
49.250834,51141,-123.077633,1150,,,,Eastbound Kingsway @ Clark Dr,0,BUS ZN
49.247719,51144,-123.070924,1153,,,,Eastbound Kingsway @ Perry St,0,BUS ZN
49.24866,51143,-123.072988,1152,,,,Eastbound Kingsway @ Dumfries St,0,BUS ZN
49.278057,52743,-123.01431,2770,,,,Southbound Gilmore Ave @ Georgia St,0,BUS ZN
49.286063,57960,-123.111306,8035,,12034,,Waterfront Station Northbound,0,ZN 1
49.286116,57959,-123.111512,8034,,12034,,Waterfront Station Unload Only,0,WCE1Z
49.310161,57962,-123.083358,8037,,99958,,Lonsdale Quay Southbound,0,ZN 2
49.310116,57961,-123.08323,8036,,99958,,Lonsdale Quay Northbound,0,ZN 2
49.26151,57956,-122.773934,8031,,99953,,Port Coquitlam Station Westbound,0,WCE2Z
49.225811,57955,-122.688341,8030,,99954,,Pitt Meadows Station Westbound,0,WCE3Z
49.278063,57958,-122.84631,8033,,99928,,Moody Centre Station Westbound,0,WCE2Z
49.273951,57957,-122.8,8032,,99930,,Coquitlam Central Station Westbound,0,WCE2Z
49.276367,52744,-123.014344,2771,,,,Southbound Gilmore Ave @ Venables St,0,BUS ZN
49.285907,57964,-123.111578,8039,,12034,,Waterfront Station @ Platform 2,0,ZN 1
49.286137,57963,-123.111403,8038,,12034,,Waterfront Station Southbound,0,ZN 1
49.28299,60602,-123.113676,12859,,,,Southbound Richards St @ Dunsmuir St,0,BUS ZN
49.336337,60464,-123.140729,12858,,,,Westbound Burley Dr @ Kings Ave,0,BUS ZN
49.162848,60352,-123.145425,12589,,,,Westbound Granville Ave @ Moffatt Rd,0,BUS ZN
49.338146,60925,-123.143517,8528,,,,Westbound Mathers Ave @ Braeside St,0,BUS ZN
49.333271,60470,-123.168136,12850,,,,Southbound 21 St @ Haywood Ave,0,BUS ZN
49.279676,60342,-123.112876,12581,,,,Southbound Cambie St @ W Georgia St,0,BUS ZN
49.212575,59709,-122.606432,12580,,,,Port Haney Station @ Bay 3,0,BUS ZN
49.314374,60598,-122.877947,12855,,,,Westbound Bedwell Bay Rd @ Crystal Creek Dr (Flag),0,BUS ZN
49.233382,60349,-123.11497,12586,,,,Eastbound W 41 Ave @ Cambie St,0,BUS ZN
49.233415,50137,-123.115623,12585,,,,Eastbound W 41 Ave @ Cambie St,0,BUS ZN
49.314292,60599,-122.877943,12856,,,,Eastbound Bedwell Bay Rd @ Crystal Creek Dr (Flag),0,BUS ZN
49.287702,59662,-122.914775,10388,,,,Eastbound Barnet Rd @ Cariboo Rd,0,BUS ZN
49.275543,59393,-123.132974,10047,,,,Westbound Beach Ave @ Hornby St,0,BUS ZN
49.325941,54252,-123.072367,4299,,,,Southbound Lonsdale Ave @ W 19 St,0,BUS ZN
49.327967,54251,-123.072286,4298,,,,Southbound Lonsdale Ave @ W 21 St,0,BUS ZN
49.335313,54248,-123.072124,4295,,,,Southbound Lonsdale Ave @ W 29 St,0,BUS ZN
49.335692,54247,-123.069293,4294,,,,Westbound E 29 St @ St. Georges Ave,0,BUS ZN
49.329781,54250,-123.072265,4297,,,,Southbound Lonsdale Ave @ W 23 St,0,BUS ZN
49.333811,54249,-123.072163,4296,,,,Southbound Lonsdale Ave @ W 27 St,0,BUS ZN
49.335595,54243,-123.051387,4290,,,,Westbound E 29 St @ William Ave,0,BUS ZN
49.335692,54246,-123.065242,4293,,,,Westbound E 29 St @ St. Andrews Ave,0,BUS ZN
49.335672,54245,-123.059425,4292,,,,Westbound E 29 St @ Somerset St,0,BUS ZN
49.25498,59940,-123.24893,10433,,,,Westbound Stadium Rd @ West Mall,0,BUS ZN
49.274738,60092,-122.800643,12235,,99930,,Coquitlam Central Station @ Platform 2,0,ZN 3
49.336681,54697,-123.166585,4749,,,,Northbound 20 St @ Kings Ave,0,BUS ZN
49.334657,54696,-123.166502,4748,,,,Westbound Inglewood Ave @ 20 St,0,BUS ZN
49.274919,60091,-122.800551,12234,,99930,,Coquitlam Central Station @ Platform 1,0,ZN 3
49.334585,54691,-123.148767,4743,,,,Westbound Inglewood Ave @ 12 St,0,BUS ZN
49.332674,54690,-123.14581,4742,,,,Northbound 11 St @ Gordon Ave,0,BUS ZN
49.33168,54689,-123.145817,4741,,,,Northbound 11 St @ Fulton Ave,0,BUS ZN
49.331353,54688,-123.148297,4740,,,,Eastbound Fulton Ave @ 12 St,0,BUS ZN
49.3346,54695,-123.16051,4747,,,,Westbound Inglewood Ave @ 17 St,0,BUS ZN
49.28041,60094,-122.793805,12237,,99931,,Lincoln Station @ Platform 2,0,ZN 3
49.33462,54693,-123.154566,4745,,,,Westbound Inglewood Ave @ 14 St,0,BUS ZN
49.33458,54692,-123.15175,4744,,,,Westbound Inglewood Ave @ 13 St,0,BUS ZN
49.280417,60093,-122.794097,12236,,99931,,Lincoln Station @ Platform 1,0,ZN 3
49.155908,55814,-122.889712,5869,,,,Eastbound 84 Ave @ Scott Rd,0,BUS ZN
49.195125,55813,-122.867795,5868,,,,Southbound 128 St @ 106 Ave,0,BUS ZN
49.199047,55810,-122.86304,5865,,,,Westbound 108 Ave @ 130 St,0,BUS ZN
49.277941,60088,-122.845608,12231,,99928,,Moody Centre Station @ Platform 2,0,ZN 3
49.197514,55812,-122.867744,5867,,,,Southbound 128 St @ 107A Ave,0,BUS ZN
49.19908,55811,-122.86597,5866,,,,Westbound 108 Ave @ 12800 Block,0,BUS ZN
49.198964,55806,-122.847112,5861,,,,Westbound 108 Ave @ King George Blvd,0,BUS ZN
49.198934,55805,-122.844336,5860,,,,Westbound 108 Ave @ 13600 Block,0,BUS ZN
49.199006,55808,-122.85358,5863,,,,Westbound 108 Ave @ 133 St,0,BUS ZN
49.199009,55807,-122.851521,5862,,,,Gateway Station @ Bay 1,0,BUS ZN
49.277118,60090,-122.828183,12233,,99929,,Inlet Centre Station @ Platform 2,0,ZN 3
49.277294,60089,-122.828164,12232,,99929,,Inlet Centre Station @ Platform 1,0,ZN 3
49.195953,52163,-122.96035,2183,,,,Southbound Willard St @ Thorne Ave,0,BUS ZN
49.197409,52162,-122.962107,2182,,,,Southbound Willard St @ 9th Ave,0,BUS ZN
49.199059,52161,-122.964164,2181,,,,Southbound Willard St @ 10 Ave,0,BUS ZN
49.200344,52160,-122.965752,2180,,,,Southbound Willard St @ 12 Ave,0,BUS ZN
49.204261,52167,-122.936668,2187,,,,Eastbound 6th Ave @ 16 St,0,BUS ZN
49.374191,54556,-123.272831,4608,,,,Keith Rd @ Horseshoe Bay Ferry Terminal,0,BUS ZN
49.19795,52164,-122.953331,2184,,,,Eastbound Trapp Rd @ Marine Dr,0,BUS ZN
49.359096,54554,-123.096152,4606,,,,Westbound Prospect Ave @ Sarita Ave,0,BUS ZN
49.358596,54555,-123.099966,4607,,,,Southbound Cliffridge Ave @ Prospect Ave,0,BUS ZN
49.207236,52169,-122.930196,2189,,,,Southbound 12 St @ 6th Ave,0,BUS ZN
49.206089,52168,-122.933296,2188,,,,Eastbound 6th Ave @ 14 St,0,BUS ZN
