latitude,property_type,room_type,accommodates,bedrooms,beds,bbq,tv,white_goods,bathrooms_type,bathrooms_number,bus_radius,within_radius,average_nearest_price,longitude
49.279301,0,0,6,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,930000.0,-123.107849
49.27702,9,2,1,1.0,1.0,0.0,1.0,0.0,0,1.0,1,1,668200.0,-123.11943
49.2495,3,0,6,2.0,3.0,0.0,1.0,1.0,2,1.0,1,0,1819120.0,-123.08574
49.24574,10,2,1,1.0,1.0,0.0,1.0,1.0,0,1.0,0,0,1380020.0,-123.0609
49.24757,3,0,2,2.0,2.0,1.0,1.0,1.0,2,1.0,0,1,1285820.0,-123.10317
49.28603,5,0,3,1.0,1.0,1.0,1.0,1.0,2,1.0,1,1,4231600.0,-123.12383
49.25537,3,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,2492600.0,-123.11721
49.27151,1,0,3,2.0,3.0,0.0,1.0,1.0,2,1.0,1,0,2716600.0,-123.16727
49.23724,10,2,2,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0,3593840.0,-123.17167
49.2152048,3,0,4,2.0,3.0,0.0,0.0,0.0,2,1.0,0,0,1866000.0,-123.1364423
49.2644,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,951600.0,-123.09873
49.24984,5,0,10,4.0,4.0,0.0,1.0,1.0,2,2.0,1,0,2375680.0,-123.10131
49.26656,1,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1603660.0,-123.04979
49.28301,5,0,2,1.0,2.0,1.0,1.0,1.0,2,1.0,1,0,813600.0,-123.13665
49.27098,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1327180.0,-123.16064
49.2798,0,0,5,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,655400.0,-123.10663
49.24557,1,0,6,1.0,2.0,1.0,0.0,1.0,2,1.0,0,0,2882000.0,-123.19187
49.23235,3,0,6,3.0,3.0,0.0,1.0,1.0,2,2.5,1,0,1388260.0,-123.04779
49.2271,2,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,0,0,1522900.0,-123.08592
49.27274,11,2,2,1.0,1.0,0.0,0.0,1.0,0,1.0,0,0,1403800.0,-123.11582
49.28634,0,0,3,1.0,2.0,0.0,1.0,0.0,2,1.0,0,1,2827400.0,-123.133
49.26361,12,2,2,1.0,1.0,0.0,1.0,1.0,0,1.0,1,1,1636800.0,-123.12692
49.26464043690546,5,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1678500.0,-123.16359034796253
49.27804,5,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,654400.0,-123.12531
49.27812,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,715000.0,-123.12829
49.28062,5,0,4,1.0,3.0,0.0,1.0,1.0,2,1.0,1,1,978580.0,-123.11815
49.2793,0,0,6,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,1009600.0,-123.12079
49.24495,3,0,3,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1753800.0,-123.04463
49.26268,5,0,2,1.0,2.0,0.0,1.0,1.0,2,1.0,0,0,2015440.0,-123.14881
49.26214,3,0,5,3.0,2.0,0.0,0.0,1.0,2,1.5,1,0,1410800.0,-123.05763
49.27408,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,985600.0,-123.1163
49.27169,9,2,1,1.0,1.0,0.0,1.0,0.0,1,1.0,0,1,2855800.0,-123.12122
49.27387,10,2,2,1.0,1.0,0.0,1.0,1.0,1,1.5,0,0,1867400.0,-123.06649
49.28852639999999,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,650600.0,-123.1282836
49.21694,8,0,6,3.0,3.0,0.0,1.0,1.0,2,1.0,0,0,1952280.0,-123.06275
49.23972,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,1,0,2888320.0,-123.15498
49.262623,0,0,3,2.0,2.0,0.0,1.0,0.0,2,1.0,1,0,1311080.0,-123.073257
49.26536,7,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,770000.0,-123.09943
49.29383,5,0,4,1.0,3.0,0.0,1.0,1.0,2,1.0,1,1,2294400.0,-123.13639
49.281727,0,0,4,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,506620.0,-123.104233
49.26559,4,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,1,2469460.0,-123.14014
49.2668,10,2,1,1.0,1.0,0.0,1.0,1.0,1,1.0,0,1,2158600.0,-123.15955
49.28014,4,0,4,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,1057200.0,-123.12195
49.21604,3,0,4,2.0,3.0,1.0,1.0,0.0,2,1.0,0,0,2007920.0,-123.07046
49.2553402,8,2,2,1.0,1.0,1.0,0.0,1.0,1,1.0,0,0,3268600.0,-123.1771674
49.28618,1,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1520400.0,-123.05403
49.26093,3,0,5,3.0,4.0,1.0,1.0,1.0,2,3.0,0,0,1152600.0,-123.10725
49.21052,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,810800.0,-123.11751
49.21804,3,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1925180.0,-123.09575
49.24196,10,2,2,1.0,1.0,0.0,1.0,1.0,0,1.0,0,0,1864200.0,-123.04993
49.27708,3,0,4,1.0,2.0,0.0,1.0,0.0,2,1.0,1,0,1341240.0,-123.0328
49.27656,5,0,3,2.0,2.0,0.0,1.0,1.0,2,1.0,1,1,1265600.0,-123.12924
